gender;age;education;score;country;geography;student;teacher;caregiver;occupation;cultural;case;desktop;laptop;tablet;smartphone;richmobile;basicmobile;desktopuse;laptopuse;tabletuse;smartphoneuse;richmobileuse;basicmobileuse;at_everywhere;at_work;at_home;at_familyhouse;at_school;at_public;at_internetcafe;desktop_access;laptop_access;tablet_access;smartphone_access;richmobile_access;basicmobile_access;desktopUSE_net;laptopUSE_net;tabletUSE_net;smartphoneUSE_net;richmobileUSE_net;basicmobileUSE_net;everywhere_net;work_net;home_net;familyhouse_net;school_net;public_net;internetcafe_net;sms_access;digitalphoto_access;digitalvideo_access;digitalpayment_access;digitalpayment_recieve;politicalnews_access;socialnetworks;healthinfo;jobsearch;serviceoffer;games;topics;discussions;word;budgeting;appdev;webdev;products;banking;everywhereUSE;workUSE;homeUSE;familyhouseUSE;schoolUSE;publicUSE;internetcafeUSE;playgames;takephoto;lookphoto;makevideo;watchvideo;makemusic;listenmusic;read;write;talk;talkfamily;events;learn;games_net;takephotos_net;lookphotos_net;makevideos_net;watchvideos_net;makemusic_net;listenmusic_net;read_net;write_net;talkfriends_net;talkfamily_net;planevent_net;learn_net;shareidea_net;learnidea_net;musicdownload_net;moviedownload_net;bookdownload_net;facebook;twitter;instagram;snapchat;youtube;linkedin;badoo;googlep;whatsapp;viber;kik;bbmessenger;vine;pinterest;tumblr;googledocs;blogger;wordpress;wordedit
0;16-19;Secondary;822;Lebanon;Rural;0;0;0;Unemployed;Syrian;Typical;Never;Never;Once a week;Multiple times day;Never;Every few days;Once a month;Once every few weeks;Less than once a month;Multiple times day;Never;Once every few weeks;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Never;Once a week;Always;Less than once a month;Never;Never;Never;Always;Never;Never;Never;Once a week;Every few days;Never;Never;Never;Never;Never;Never;Never;Multiple times day;Never;Multiple times day;Once a day;Never;Never;Less than once a month;Not very often;Not very often;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Not very often;Not very often;Never;Not very often;Very often;Never;Often;Never;Often;Very often;Very often;Very often;Very often;Not very often;Not very often;Never;Never;Often;NA;NA;Never;Never;Never;Never;Not very often;Never;Never;Not very often;Very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never
0;16-19;Secondary;706;Lebanon;Rural;0;0;0;Unemployed;Syrian;Typical;Never;Never;Every few days;Multiple times day;Never;Multiple times day;Never;Never;Once a week;Multiple times day;Never;Once every few weeks;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Once a week;Never;Never;Never;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Once every few weeks;Once a week;Once a day;Less than once a month;Never;Never;Never;Every few days;Never;Never;Never;Once a week;Once a week;Never;Never;Never;Never;Never;Never;Never;;Never;;;Never;Never;Less than once a month;Not very often;Not very often;Very often;Not very often;Often;Never;Very often;Very often;Very often;Very often;Very often;Very often;NA;Never;Never;Never;Never;Often;Never;Never;Very often;Very often;Very often;Very often;Not very often;Not very often;Never;Never;Not very often;Never;Never;Somewhat often;Never;Never;Never;Not very often;Never;Never;Not very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never;
0;25-30;University;611;Lebanon;Rural;0;0;0;Workforce;Lebanese;Typical;Once every few weeks;Multiple times day;Every few days;Multiple times day;Never;Never;Once every few weeks;Multiple times day;Every few days;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Once a day;Never;Never;Once every few weeks;Multiple times day;Every few days;Multiple times day;Never;Never;Once every few weeks;Multiple times day;Every few days;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Once a day;Never;Never;Always;Always;Always;Once a month;Once a month;Once a day;Always;Every few days;Every few days;Once a month;Once a day;Every few days;Once a day;Every few days;Once every few weeks;Less than once a month;Less than once a month;Less than once a month;Once every few weeks;Multiple times day;Once a day;Multiple times day;Every few days;Once a day;Never;Never;Somewhat often;Often;Often;Not very often;Often;Not very often;Often;Often;Often;Not very often;Not very often;Not very often;Somewhat often;Very often;Somewhat often;Very often;Not very often;Very often;Not very often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Often;Often;Often;Often;Often;Somewhat often;Very often;Very often;Somewhat often;Never;Very often;Not very often;Never;Often;Very often;Very often;Never;Never;Never;Never;Never;Somewhat often;Never;Never;Often
0;16-19;Secondary;748;Lebanon;Rural;1;0;0;Unemployed;Lebanese;Typical;Every few days;Multiple times day;Once a day;Multiple times day;Never;Never;Every few days;Multiple times day;Once a day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Once a week;Once a month;Less than once a month;Every few days;Multiple times day;Once a day;Multiple times day;Never;Never;Every few days;Multiple times day;Once a day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Once a week;Once a month;Less than once a month;Always;Always;Always;Never;Never;Once a month;Always;Every few days;Less than once a month;;;Once a day;Once a day;Never;Never;Less than once a month;Less than once a month;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Once a week;Once a month;Less than once a month;Often;Often;Often;Somewhat often;Often;Somewhat often;Often;Often;Often;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Very often;Often;Very often;Not very often;Very often;Not very often;Very often;Very often;Somewhat often;Very often;Somewhat often;Somewhat often;Often;Often;Often;Very often;Very often;Very often;Very often;Very often;Often;Never;Very often;Never;Never;Never;Very often;Very often;Never;Not very often;Never;Never;Never;Never;Never;Never;Never
0;20-24;University;699;Lebanon;Rural;1;0;0;Unemployed;Syrian;Typical;Never;Multiple times day;Multiple times day;Multiple times day;Never;Never;Never;Once a day;Every few days;Multiple times day;Never;Never;;Never;Multiple times day;Never;Less than once a month;Less than once a month;Never;Less than once a month;Multiple times day;Once a day;Multiple times day;Never;Never;Less than once a month;Once a day;Once a day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Less than once a month;Never;Less than once a month;Never;Always;Always;Always;Never;Never;Once a day;Once a day;Once a day;Once a day;Never;Once a day;Once a day;Once a day;Once a day;Once every few weeks;Never;Never;Once every few weeks;Never;Multiple times day;Never;Never;Once a month;Never;Less than once a month;Never;Not very often;Very often;Very often;Never;Very often;Never;Often;Often;Often;Somewhat often;Often;Not very often;Very often;Not very often;Never;Often;Never;Often;Never;Often;Often;Often;Somewhat often;Often;Never;Very often;Somewhat often;Not very often;Very often;Very often;Often;Often;Somewhat often;Very often;Never;Very often;Never;Never;Never;Very often;Somewhat often;Never;Never;Never;Never;Never;Never;Never;Somewhat often;Somewhat often
0;16-19;Secondary;0;Uganda;Peri-urban;1;0;0;Unemployed;Ugandan;Typical;Once a week;Less than once a month;Never;Multiple times day;NA;Less than once a month;;;;;;;;;;;;;;Less than once a month;Never;Never;Every few days;Less than once a month;Never;Never;Never;Never;Once a day;Less than once a month;Never;Once a day;Never;Multiple times day;Once every few weeks;Less than once a month;Never;Once every few weeks;Always;Always;Always;Always;NA;NA;Always;Always;NA;NA;Always;Always;Always;Once a week;Less than once a month;Never;Never;Never;Never;Multiple times day;Never;Multiple times day;Once every few weeks;Less than once a month;Never;Once a month;Often;Often;Never;Never;;Often;Often;Often;Often;Often;Often;Often;Often;Not very often;Never;;;;;;;;Often;Not very often;Often;Not very often;Often;;Not very often;Not very often;Not very often;Often;Not very often;Never;Never;Not very often;Never;Never;Not very often;Often;Never;Never;Never;Never;Never;Never;Never;Never;Never;
;16-19;Secondary;699;Uganda;Peri-urban;1;0;0;Unemployed;Ugandan;Typical;Every few days;Less than once a month;Never;Once every few weeks;NA;Never;Once a day;Less than once a month;Never;Once every few weeks;NA;Never;;;;;;;;Never;Once every few weeks;Never;Every few days;NA;Never;Never;Once every few weeks;Never;Every few days;NA;Never;Never;Never;Multiple times day;Once a week;Once a month;Never;Never;Always;Once a day;Less than once a month;NA;NA;Less than once a month;Always;Once a month;NA;NA;Always;Always;Always;Always;NA;NA;NA;NA;NA;Never;Never;Multiple times day;Never;Never;Never;Never;Very often;Often;Not very often;Not very often;;Not very often;Very often;Very often;Very often;Often;Often;Very often;Often;Often;;;;;;Very often;Very often;Very often;Very often;Often;Very often;Very often;Often;Very often;Very often;Very often;Very often;Very often;Very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Very often;Not very often;Never;Never;Never;Never;Never;Never;Never;Never;
1;16-19;Secondary;536;Uganda;Peri-urban;1;0;0;Unemployed;Ugandan;Typical;Every few days;Multiple times day;Every few days;Multiple times day;Once a month;Never;;;;;;;;;;;;;;Every few days;Multiple times day;Less than once a month;Multiple times day;Once a month;Never;Every few days;Multiple times day;Less than once a month;Multiple times day;Once a week;Never;Multiple times day;Never;Multiple times day;Once every few weeks;Every few days;Every few days;Every few days;Always;Every few days;Every few days;Never;NA;Always;Always;Always;Always;Never;Always;Always;Always;Every few days;Never;Never;Never;Never;Never;Multiple times day;NA;Multiple times day;Once every few weeks;Every few days;Every few days;Every few days;Very often;Not very often;Very often;NA;;NA;Often;Often;Often;Very often;Often;Often;Very often;Very often;Never;Never;Never;;NA;Very often;Very often;Very often;Very often;Often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Not very often;Not very often;Very often;Very often;Not very often;Never;Very often;Never;Never;Never;Often;Not very often;Never;
1;25-30;University;586;Uganda;Peri-urban;0;0;0;Workforce;Ugandan;Typical;Every few days;Every few days;Every few days;Multiple times day;Once a week;Multiple times day;Every few days;Every few days;Once a day;Multiple times day;Once a week;Multiple times day;Multiple times day;Multiple times day;Once a day;Once every few weeks;Less than once a month;NA;NA;Once a week;Every few days;Once a day;Multiple times day;Every few days;Never;Every few days;Once a day;Every few days;Multiple times day;Once a week;Never;Once a day;Every few days;Once a week;Less than once a month;Less than once a month;Less than once a month;Every few days;Always;Always;Once every few weeks;Less than once a month;Less than once a month;Always;Always;Every few days;Once a month;Once a day;Once a day;Always;Once every few weeks;Every few days;Once a day;NA;NA;Every few days;Once a day;Multiple times day;Once a day;Once a week;Every few days;Less than once a month;Never;Every few days;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Often;Somewhat often;Very often;Often;Very often;Very often;Very often;Somewhat often;Very often;Somewhat often;Often;Somewhat often;Very often;Often;Somewhat often;Very often;Not very often;Somewhat often;Often;Often;Often;Very often;Often;Often;Very often;Often;Somewhat often;Very often;Often;NA;Somewhat often;Somewhat often;Very often;NA;NA;Not very often;NA;NA;NA;NA;NA;Not very often;Somewhat often
1;20-24;University;451;Lebanon;Rural;0;0;0;M-owner;Lebanese;Typical;Once a day;Multiple times day;Every few days;Multiple times day;Every few days;Every few days;Once a day;Multiple times day;Every few days;Multiple times day;Every few days;Every few days;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Once a day;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Once a day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Once a day;Every few days;Never;Multiple times day;Always;Always;Always;Less than once a month;Never;Once a day;Always;NA;Every few days;Less than once a month;Once a day;Always;Once a week;Once a week;Never;NA;Never;Once a day;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Every few days;Never;Every few days;Often;Very often;Very often;Somewhat often;Often;Somewhat often;Somewhat often;Not very often;Not very often;Very often;Very often;Often;Somewhat often;Often;Very often;Very often;Never;Very often;Never;Very often;Somewhat often;Somewhat often;Very often;Very often;Often;Very often;Often;Often;Often;Often;Not very often;Very often;Often;Very often;Often;Very often;Not very often;Not very often;Not very often;Very often;Often;Not very often;Often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Very often
0;>30;University;468;Tanzania;Urban;1;0;0;Self-employed;Tanzanian;Typical;Multiple times day;Every few days;Once every few weeks;Multiple times day;Never;Once a week;Multiple times day;Every few days;Once every few weeks;Multiple times day;Never;Once a week;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Every few days;Once every few weeks;Multiple times day;Never;Once a week;Multiple times day;Every few days;Once every few weeks;Multiple times day;Never;Once a week;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Always;Always;Always;Always;Always;Always;Always;Always;Always;Never;Always;Always;Always;Never;Never;Never;Never;Never;Always;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Very often;Very often;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Never;Very often;Very often;Very often;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Never;Very often;Very often;Very often;Never;Never;Never;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Very often;Never;Never;Never;Never;Never;Very often;Very often;Never;Never
1;>30;None;898;Lebanon;Refugee;0;0;1;Workforce;Syrian;Typical;Once every few weeks;Never;Never;Multiple times day;Never;Never;Less than once a month;Never;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Multiple times day;Never;Never;Less than once a month;Less than once a month;Never;Never;Multiple times day;Never;Never;Less than once a month;Never;Never;Multiple times day;Never;Never;Multiple times day;Once a day;Multiple times day;Multiple times day;Never;Never;Less than once a month;Always;Always;Always;NA;NA;Always;Always;Always;Always;NA;Always;Always;NA;NA;NA;NA;NA;NA;NA;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Once every few weeks;Never;Not very often;Not very often;Never;Often;Never;Not very often;Not very often;Never;Often;Often;Never;Never;Never;Never;Not very often;Never;Often;Never;Not very often;Not very often;Not very often;Somewhat often;Somewhat often;Never;Not very often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Often;Never;Never;Never;Often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never
1;20-24;Secondary;735;Lebanon;Rural;0;0;0;Casual;Syrian;Typical;Once a day;Every few days;Never;Multiple times day;Never;Never;Multiple times day;Every few days;Never;Multiple times day;Never;Never;Never;Once a day;Multiple times day;Less than once a month;Never;Never;Never;Multiple times day;Once a month;Never;Multiple times day;Never;Never;Multiple times day;Every few days;Never;Multiple times day;Never;Never;Never;Once a day;Multiple times day;;Never;Never;Never;Always;Always;Always;Never;Never;Always;Once a day;Once a day;Never;Never;Always;Once every few weeks;Once every few weeks;Never;Never;Never;Never;Never;Never;Never;Once every few weeks;Multiple times day;Never;Never;Never;Never;Often;Often;Very often;Never;Often;Never;Very often;Very often;Not very often;Very often;Very often;Never;Somewhat often;Somewhat often;Never;Often;Never;Very often;Never;Very often;Often;Not very often;Very often;Very often;Never;Often;Often;Often;Very often;Very often;Never;Very often;Somewhat often;Not very often;Never;Very often;Never;Never;Never;Very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never
1;16-19;Secondary;483;Lebanon;Peri-urban;1;0;0;Unemployed;Lebanese;Typical;Less than once a month;Every few days;Less than once a month;Multiple times day;Less than once a month;Never;Less than once a month;Every few days;Less than once a month;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Every few days;Less than once a month;Every few days;Never;Every few days;Never;Multiple times day;Never;Never;Never;Every few days;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a month;Once every few weeks;Once a month;Every few days;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Multiple times day;Never;Multiple times day;Once every few weeks;Once every few weeks;Every few days;Every few days;Somewhat often;Very often;Very often;Not very often;Very often;Never;Often;Not very often;Not very often;;Very often;Very often;Often;Often;Very often;Very often;Not very often;Very often;Not very often;Very often;Not very often;Not very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;NA;Often;Not very often;Not very often;Never;Very often;Never;Never;Never;Very often;Not very often;Never;Not very often;Never;Never;Never;Never;Never;Somewhat often;
0;16-19;Primary;529;Lebanon;Rural;1;0;0;Unemployed;Lebanese;Typical;Every few days;Multiple times day;Multiple times day;Multiple times day;Never;Never;Once every few weeks;Multiple times day;Multiple times day;Multiple times day;Never;Never;Once a month;Never;Multiple times day;Never;Never;Once a month;Once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Once a week;Multiple times day;Multiple times day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a week;Once a week;Never;Never;Always;Always;Always;NA;NA;Always;Always;Always;Always;NA;Always;Always;Always;Always;Always;NA;NA;NA;NA;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Never;Very often;Very often;Very often;Very often;Very often;Never;Very often;Not very often;Somewhat often;Very often;Very often;Often;Very often;Very often;Never;Very often;Never;Very often;Never;Very often;Often;Very often;Very often;Very often;Very often;Often;Often;Often;Very often;Very often;Very often;Very often;Not very often;Never;Never;Very often;Never;Never;Never;Very often;Not very often;Not very often;Never;Never;Not very often;Never;Never;Never;Never;
0;25-30;University;562;Lebanon;Rural;0;1;0;Workforce;Lebanese;Typical;Never;Multiple times day;Never;Multiple times day;Less than once a month;Never;Never;Once every few weeks;Never;Multiple times day;Less than once a month;Never;Multiple times day;Never;Multiple times day;Multiple times day;Never;Less than once a month;Never;Never;Multiple times day;Never;Multiple times day;Never;Never;Never;Once every few weeks;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Never;Less than once a month;Never;Always;Always;Always;Never;Never;Always;Always;Always;Once a week;Never;Less than once a month;Every few days;Every few days;Once a week;Never;Never;Never;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Never;Less than once a month;Never;Not very often;Very often;Very often;Not very often;Often;Never;Often;Often;Not very often;Very often;Very often;Somewhat often;Somewhat often;Not very often;Very often;Very often;Not very often;Very often;Never;Often;Somewhat often;Somewhat often;Somewhat often;Very often;Somewhat often;Somewhat often;Not very often;Not very often;Not very often;Never;Never;Very often;Never;Never;Never;Very often;Never;Never;Never;Very often;Not very often;Never;Never;Never;Never;Never;Never;Never;Not very often;
1;>30;Certificate;659;Lebanon;Rural;0;0;0;M-owner;Lebanese;Typical;Never;Once a day;Never;Multiple times day;Never;Multiple times day;Never;Once a day;Never;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Once a day;Every few days;Never;Every few days;Less than once a month;Never;Multiple times day;Never;Multiple times day;Never;Never;Never;Once a day;Never;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Never;Once every few weeks;Once every few weeks;Always;Always;Always;Once every few weeks;Once every few weeks;Always;Always;Once every few weeks;Always;Once a day;Every few days;Always;Once a day;Every few days;Never;Never;Never;Always;Always;Multiple times day;Multiple times day;Multiple times day;Every few days;Never;Once every few weeks;Once every few weeks;Not very often;Very often;Very often;Somewhat often;Very often;Never;Often;Somewhat often;Never;Often;Somewhat often;Often;Somewhat often;Somewhat often;Very often;Very often;Not very often;Very often;Never;Often;Somewhat often;Not very often;Often;Somewhat often;Often;Somewhat often;Somewhat often;Somewhat often;Never;Never;Never;Very often;Never;Never;Never;Very often;Never;Never;Never;Very often;Somewhat often;Never;Never;Never;Never;Never;Never;;Not very often;Somewhat often
0;20-24;University;613;Ethiopia;Urban;0;0;0;Workforce;Ethiopian;Typical;NA;Multiple times day;NA;Multiple times day;Multiple times day;Multiple times day;NA;Multiple times day;NA;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Every few days;Never;Never;Every few days;NA;Multiple times day;NA;Multiple times day;Multiple times day;Multiple times day;NA;Multiple times day;NA;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Every few days;Less than once a month;Less than once a month;Every few days;Always;Always;Always;Always;Never;Never;Always;Always;Always;Never;Always;Always;Always;Always;Never;Never;Never;Never;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Less than once a month;Less than once a month;Every few days;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;NA;Very often;Very often;NA;Very often;Very often;Very often;NA;NA;NA;NA;NA;Very often;NA;NA;Very often
1;20-24;Certificate;644;Ethiopia;Urban;0;0;0;NA;Ethiopian;Typical;Once a week;Once a day;Never;Multiple times day;Once a day;Once a week;Once every few weeks;Once a day;Never;Multiple times day;Once a week;Once every few weeks;Multiple times day;Never;Every few days;Once a month;Once a week;Never;Every few days;Once a month;Once every few weeks;Never;Once a day;Once a month;Once a month;Once every few weeks;Every few days;Never;Once a day;Once every few weeks;Once every few weeks;Once a day;Never;Once a day;Once every few weeks;Once every few weeks;Never;Once a month;Always;Always;Always;Never;Never;Never;Once a day;Never;Never;Never;Always;Once a day;Once every few weeks;Never;Never;Never;Never;Never;Never;Once a day;Never;Once every few weeks;Every few days;Once a month;Never;Once a week;Somewhat often;Often;Often;Never;Somewhat often;Never;Often;Not very often;Never;Often;Often;Never;Not very often;Not very often;Somewhat often;Somewhat often;Never;Somewhat often;Somewhat often;Often;Not very often;Not very often;Somewhat often;Somewhat often;Never;Not very often;Not very often;Not very often;Not very often;Not very often;Never;Very often;Never;Never;Never;Not very often;Never;Never;Not very often;Very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;
;25-30;Secondary;663;Rwanda;Rural;0;0;0;Unemployed;Rwandan;Typical;Never;Once a month;NA;Never;NA;Multiple times day;Never;Once a month;NA;Never;NA;Multiple times day;;;Multiple times day;;Multiple times day;Never;Never;Never;Never;NA;Never;NA;Every few days;Never;Never;NA;Never;NA;Every few days;Never;Never;Every few days;Never;Never;Never;Never;Always;Always;Once a week;Less than once a month;Less than once a month;Never;Every few days;Never;Never;Never;Once a day;Never;Always;Once every few weeks;Never;Never;Never;Never;Never;;Never;Every few days;;Never;Once a week;Never;Often;Very often;Very often;;Somewhat often;Very often;Very often;Very often;Very often;Very often;Very often;NA;Never;NA;Somewhat often;Very often;Never;Somewhat often;Somewhat often;Often;Very often;Very often;Very often;Not very often;NA;Never;Somewhat often;Often;Very often;Not very often;NANA;Very often;Never;NA;NA;Very often;NA;NA;NA;Never;NA;NA;NA;NA;NA;NA;Somewhat often;NA;NA;
1;20-24;University;653;Lebanon;Rural;0;0;0;Casual;Lebanese;Typical;Multiple times day;Multiple times day;Never;Multiple times day;Every few days;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Every few days;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Once a day;Less than once a month;Once a day;Every few days;Every few days;Never;Multiple times day;Never;Never;Every few days;Every few days;Never;Multiple times day;Never;Never;Multiple times day;Every few days;Multiple times day;Once a day;Once every few weeks;Never;Once a week;Always;Once a day;Once a day;Never;Never;Once a day;Always;Never;Every few days;Never;Always;Every few days;Once a week;Once a week;Never;Never;Every few days;Never;Never;Multiple times day;Multiple times day;Multiple times day;Every few days;Less than once a month;Never;Once a week;Often;Somewhat often;Often;Somewhat often;Often;Somewhat often;Often;Not very often;Not very often;Very often;Very often;Often;Not very often;Often;;Often;Somewhat often;Often;Somewhat often;Often;Not very often;Not very often;Very often;Very often;Often;Somewhat often;Often;Often;Often;Often;Not very often;Very often;Somewhat often;Very often;Very often;Very often;NA;NA;Very often;Very often;Very often;Never;Very often;Never;Never;Never;Often;Never;Never;Often
1;16-19;Secondary;723;Lebanon;Rural;0;0;0;Casual;Syrian;Typical;Less than once a month;Never;Multiple times day;Multiple times day;Never;Never;Less than once a month;Never;Once a day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Every few days;Never;Never;Once a week;Less than once a month;Never;Multiple times day;Multiple times day;Never;Never;Less than once a month;Never;Once a day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a week;Never;Never;Never;Once a week;Always;Once a week;Never;Never;Never;Always;Once a week;Never;Never;Once every few weeks;Always;Always;Once a week;Never;Never;Never;Never;Never;Multiple times day;Never;Multiple times day;Once a day;Never;Never;Once a week;Often;Very often;Very often;Not very often;;Never;Often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Often;Often;Often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Not very often;Never;NA;NA;Often;Often;Often;Very often;Never;Very often;Not very often;Not very often;Never;Never;Never;Very often;Somewhat often;Never;Somewhat often;Never;Never;Never;Never;Never;Never;Not very often
1;20-24;Secondary;526;Kenya;Peri-urban;0;0;0;Workforce;Kenyan;Typical;Multiple times day;Once a month;Once a month;Multiple times day;Never;Never;Multiple times day;Once a month;Once a month;Multiple times day;Never;;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Once a month;Once a month;Multiple times day;Never;Never;Multiple times day;Less than once a month;Less than once a month;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Always;Always;Less than once a month;Once a month;Once a month;Always;Always;Once a month;Once a month;Less than once a month;Always;Always;Always;Always;Never;Never;Never;Never;Once a day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Very often;Very often;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Very often;Often;Very often;Often;Very often;Never;Often;Never;Very often;Very often;Very often;Very often;Very often;Very often;Often;Very often;Often;Very often;Often;Not very often;Very often;Very often;Very often;Never;Often;Never;Never;Somewhat often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Very often
0;25-30;University;492;Ethiopia;Urban;0;0;0;Workforce;Ethiopian;Typical;Multiple times day;Multiple times day;Once a week;Multiple times day;Once a week;Once a week;Multiple times day;Multiple times day;Once a week;Multiple times day;Once every few weeks;Once every few weeks;Multiple times day;Multiple times day;Once a day;Once a week;Less than once a month;Less than once a month;Once every few weeks;Multiple times day;Multiple times day;Once a week;Multiple times day;Once every few weeks;Once every few weeks;Multiple times day;Multiple times day;Once a week;Multiple times day;Once every few weeks;Once every few weeks;Multiple times day;Multiple times day;Once a day;Once a week;Once a month;Once every few weeks;Once every few weeks;Always;Always;Always;Less than once a month;Once a month;Once a day;Always;Never;Once a month;Never;Once a month;Always;;Once a month;Once a month;Never;Never;Never;Once a month;Multiple times day;Multiple times day;Once a day;Every few days;Once a month;Once every few weeks;Once every few weeks;Somewhat often;Often;Very often;Not very often;Very often;Not very often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Somewhat often;Not very often;Somewhat often;Very often;Not very often;Very often;Not very often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Somewhat often;Very often;Often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Never;Very often;Very often;Never;Very often;Very often;Very often;Never;Never;Never;Somewhat often;Never;Often;Somewhat often;Somewhat often;Very often
