"gender","age","education","country","geography","student","teacher","caregiver","occupation","cultural","case","desktop","laptop","tablet","smartphone","richmobile","basicmobile","desktopuse","laptopuse","tabletuse","smartphoneuse","richmobileuse","basicmobileuse","at_everywhere","at_work","at_home","at_familyhouse","at_school","at_public","at_internetcafe","desktop_access","laptop_access","tablet_access","smartphone_access","richmobile_access","basicmobile_access","desktopUSE_net","laptopUSE_net","tabletUSE_net","smartphoneUSE_net","richmobileUSE_net","basicmobileUSE_net","everywhere_net","work_net","home_net","familyhouse_net","school_net","public_net","internetcafe_net","sms_access","digitalphoto_access","digitalvideo_access","digitalpayment_access","digitalpayment_recieve","politicalnews_access","socialnetworks","healthinfo","jobsearch","serviceoffer","games","topics","discussions","word","budgeting","appdev","webdev","products","banking","everywhereUSE","workUSE","homeUSE","familyhouseUSE","schoolUSE","publicUSE","internetcafeUSE","playgames","takephoto","lookphoto","makevideo","watchvideo","makemusic","listenmusic","read","write","talk","talkfamily","events","learn","games_net","takephotos_net","lookphotos_net","makevideos_net","watchvideos_net","makemusic_net","listenmusic_net","read_net","write_net","talkfriends_net","talkfamily_net","planevent_net","learn_net","shareidea_net","learnidea_net","musicdownload_net","moviedownload_net","bookdownload_net","facebook","twitter","instagram","snapchat","youtube","linkedin","badoo","googlep","whatsapp","viber","kik","bbmessenger","vine","pinterest","tumblr","googledocs","blogger","wordpress","wordedit"
"50","Male","20-24","Secondary","Kenya","Peri-urban",1,0,0,"Unemployed","Other","Typical","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Every few days","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Every few days","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Every few days","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Very often","Very often","Never","Very often","Never","Never","Never","Very often","Very often","Very often","Very often"
"51","Female","25-30","University","Uganda","Peri-urban",0,1,0,"Workforce","Ugandan","Typical","Every few days","Once every few weeks","Never","Every few days","Once every few weeks","Multiple times day","Every few days","Once every few weeks","Never","Every few days","Once every few weeks","Multiple times day","Less than once a month","Every few days","Multiple times day","Once every few weeks","Once a month","Never","Less than once a month","Once a month","Once a month","Never","Once every few weeks","Never","Never","Less than once a month","Less than once a month","Never","Once every few weeks","Never","Never","Never","Never","Once every few weeks","Once every few weeks","Once a month","Never","Less than once a month","Always","Never","Never","Never","Once every few weeks","Never","Never","Never","Less than once a month","Never","Never","Less than once a month","Never","Once every few weeks","Once every few weeks","Never","Never","Never","Never","Less than once a month","Every few days","Every few days","Once every few weeks","Once a month","Less than once a month","Never","Never","Never","Never","Never","Never","Somewhat often","Very often","Never","Very often","Very often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Not very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"52","Male","20-24","Secondary","Uganda","Peri-urban",1,0,0,"Unemployed","Ugandan","Typical","Once a week","Never","Never","Never","Multiple times day","Multiple times day","Once a day","Never","Never","Never","Multiple times day","Multiple times day","Never","Never","Multiple times day","Never","Once every few weeks","Once a week","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Multiple times day","Once every few weeks","Every few days","Every few days","Never","Never","Never","Never","Never","Never","Often","Very often","Never","Very often","Very often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"53","Male","20-24","University","Uganda","Urban",1,0,0,"Unemployed","Ugandan","Typical","Once a day","Multiple times day","Every few days","Multiple times day","Once a day","Never","Once a day","Multiple times day","Every few days","Multiple times day","Once a day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a month","Once every few weeks","Once a day","Once every few weeks","Multiple times day","Every few days","Never","Every few days","Multiple times day","Never","Multiple times day","Less than once a month","Never","Multiple times day","Once a day","Multiple times day","Once a week","Never","Never","Less than once a month","Every few days","Always","Once every few weeks","Once every few weeks","Once every few weeks","Once a week","Always","Every few days","Always","Less than once a month","Always","Always","Always","Once a day","Every few days","Less than once a month","Less than once a month","Every few days","Once a week","Multiple times day","Multiple times day","Multiple times day","Every few days","Multiple times day","Once a day","Every few days","Very often","Very often","Very often","Very often","Very often","Never","Very often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Very often","Never","Very often","Never","Very often","Never","Very often","Very often","Very often","Very often","Very often","Often","Very often","Often","Often","Very often","Very often","Very often","Very often","Often","Often","Often","Often","Not very often","Somewhat often","Often","Very often","Often","Not very often","Not very often","Not very often","Never","Often","Somewhat often","Not very often","Not very often","Very often"
"54","Female","20-24","Secondary","Uganda","Peri-urban",1,0,0,"Unemployed","Ugandan","Typical","Once a day","Never","Never","Never","Multiple times day","Multiple times day","Once a day","Never","Never","Never","Multiple times day","Multiple times day","Never","Never","Multiple times day","Never","Once a day","Once a day","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Every few days","Never","Never","Never","Never","Never","Never","Never","Multiple times day","Less than once a month","Once a day","Once a day","Never","Never","Never","Never","Never","Never","Never","Very often","Never","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"55","Male","20-24","University","Uganda","Rural",1,0,0,"Unemployed","Ugandan","Typical","Once a day","Once a week","Never","Once every few weeks","Multiple times day","Every few days","Once a day","Every few days","Never","Once every few weeks","Multiple times day","Every few days","Multiple times day","Never","Multiple times day","Every few days","Once every few weeks","Once every few weeks","Less than once a month","Once a day","Every few days","Never","Once every few weeks","Multiple times day","Never","Once a day","Once every few weeks","Never","Once every few weeks","Multiple times day","Never","Multiple times day","Never","Multiple times day","Once every few weeks","Once every few weeks","Once every few weeks","Less than once a month","Once a day","Always","Always","Once every few weeks","Once every few weeks","Every few days","Always","Every few days","Once a day","Never","Always","Always","Always","Always","Once every few weeks","Never","Never","Once every few weeks","Once every few weeks","Multiple times day","Never","Multiple times day","Once every few weeks","Once every few weeks","Once every few weeks","Less than once a month","Very often","Often","Often","Often","Often","Never","Very often","Often","Often","Very often","Very often","Not very often","Often","Somewhat often","Never","Somewhat often","Never","Often","Never","Very often","Very often","Very often","Very often","Very often","Not very often","Often","Somewhat often","Not very often","Often","Often","Very often","Very often","Not very often","Somewhat often","Never","Often","Not very often","Never","Never","Somewhat often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"56","Male","20-24","Secondary","Uganda","Urban",1,0,0,"Unemployed","Ugandan","Typical","Less than once a month","Multiple times day","Never","Every few days","Multiple times day","Multiple times day","Less than once a month","Multiple times day","Never","Every few days","Multiple times day","Multiple times day","Once a day","Never","Multiple times day","Once every few weeks","Multiple times day","Multiple times day","Once every few weeks","Once a month","Once a day","Never","Multiple times day","Multiple times day","Never","Once a month","Multiple times day","Never","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Once every few weeks","Multiple times day","Multiple times day","Once every few weeks","Always","Every few days","Once every few weeks","Less than once a month","Every few days","Every few days","Always","Never","Never","Never","Always","Always","Always","Always","Less than once a month","Never","Never","Never","Every few days","Never","Never","Never","Never","Multiple times day","Multiple times day","Once a month","Very often","Often","Very often","Not very often","Very often","Never","Very often","Very often","Very often","Very often","Often","Somewhat often","Very often","Somewhat often","Never","Very often","Never","Very often","Never","Very often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Never","Somewhat often","Very often","Never","Never","Very often","Very often","Not very often","Never","Never","Never","Never","Never","Never","Never","Never","Very often"
"57","Male","25-30","University","Uganda","Urban",0,0,0,"Workforce","Ugandan","Typical","Multiple times day","Once a day","Once a month","Every few days","Multiple times day","Multiple times day","Multiple times day","Once a day","Once a month","Every few days","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Every few days","Every few days","Every few days","Multiple times day","Once a day","Once a month","Every few days","Multiple times day","Multiple times day","Multiple times day","Every few days","Never","Every few days","Multiple times day","Never","Multiple times day","Multiple times day","Once a day","Once every few weeks","Once every few weeks","Once every few weeks","Less than once a month","Always","Every few days","Once every few weeks","Once a month","Less than once a month","Every few days","Always","Once every few weeks","Less than once a month","Once a month","Always","Once a week","Once a week","Always","Once every few weeks","Never","Never","Never","Every few days","Multiple times day","Multiple times day","Once a day","Once every few weeks","Less than once a month","Once a month","Once every few weeks","Often","Often","Very often","Not very often","Often","Not very often","Very often","Often","Often","Very often","Very often","Not very often","Often","Often","Never","Somewhat often","Never","Often","Never","Somewhat often","Very often","Very often","Very often","Very often","Not very often","Often","Very often","Often","Very often","Often","Somewhat often","Often","Often","Never","Never","Often","Never","Never","Often","Very often","Never","Never","Somewhat often","Never","Never","Never","Somewhat often","Never","Often","Very often"
"58","Female","20-24","University","Uganda","Urban",0,0,0,"Unemployed","Ugandan","Typical","Less than once a month","Once a day","Once a week","Multiple times day","Never","Never","Less than once a month","Every few days","Every few days","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Every few days","Less than once a month","Less than once a month","Multiple times day","Less than once a month","Every few days","Every few days","Multiple times day","Less than once a month","Never","Never","Multiple times day","Every few days","Multiple times day","Never","Never","Multiple times day","Less than once a month","Multiple times day","Once every few weeks","Less than once a month","Less than once a month","Less than once a month","Always","Always","Always","Every few days","Every few days","Once a week","Always","Once a week","Once every few weeks","Never","Once a day","Once a day","Always","Once a day","Once a month","Never","Never","Once a day","Every few days","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Somewhat often","Very often","Very often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Not very often","Very often","Never","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Often","Often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Not very often","Often","Often","Often","Not very often","Somewhat often","Often","Very often","Very often","Never","Not very often","Never","Never","Somewhat often","Not very often","Never","Never","Very often"
"59","Female","20-24","University","Tanzania","Urban",1,0,0,"Unemployed","Tanzanian","Typical","Once every few weeks","Multiple times day","Never","Multiple times day","Once a week","Once a week","Once every few weeks","Multiple times day","Never","Multiple times day","Once a week","Once a week","Multiple times day","Never","Multiple times day","Multiple times day","Never","Once a month","Multiple times day","Once every few weeks","Multiple times day","Never","Multiple times day","Once a week","Never","Once every few weeks","Multiple times day","Never","Multiple times day","Once a day","Never","Multiple times day","Never","Multiple times day","Multiple times day","Never","Once a month","Multiple times day","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Never","Never","Always","Multiple times day","Never","Multiple times day","Multiple times day","Never","Once a month","Multiple times day","Very often","Very often","Very often","Somewhat often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Very often","Very often","Very often","Somewhat often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Often","Very often","Not very often","Very often","Not very often","Very often","Not very often","Not very often","Very often","Very often","Very often","Not very often","Not very often","Not very often","Not very often","Not very often","Not very often","Very often","Not very often","Very often"
"60","Male","25-30","Mas/PhD","Lebanon","Rural",0,1,0,"Workforce","Lebanese","Typical","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Once a day","Once a day","Once a day","Once every few weeks","Multiple times day","Never","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Multiple times day","Once a day","Once a day","Once every few weeks","Multiple times day","Never","Never","Always","Always","Once a day","Once every few weeks","Once a month","Once every few weeks","Always","Once a day","Every few days","Less than once a month","Always","Every few days","Every few days","Less than once a month","Less than once a month","Less than once a month","Less than once a month","Less than once a month","Once a month","Multiple times day","Once a day","Once a day","Once every few weeks","Multiple times day","Never","Never","Very often","Very often","Very often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Never","Never","Never","Very often","Very often","Never","Not very often","Never","Never","Never","Never","Never","Never","Very often"
"61","Male","25-30","Mas/PhD","Lebanon","Rural",0,1,0,"Workforce","Lebanese","Typical","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Multiple times day","Once a day","Once a day","Once every few weeks","Multiple times day","Less than once a month","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Once a week","Multiple times day","Every few days","Multiple times day","Never","Never","Multiple times day","Once a day","Multiple times day","Once every few weeks","Multiple times day","Less than once a month","Never","Always","Once a day","Once a day","Once a month","Once a month","Once a month","Always","Every few days","Every few days","Less than once a month","Once a day","Every few days","Once a day","Once a day","Once a month","Less than once a month","Less than once a month","Less than once a month","Once a month","Multiple times day","Once a day","Multiple times day","Once every few weeks","Multiple times day","Less than once a month","Never","Often","Often","Often","Somewhat often","Often","Somewhat often","Often","Somewhat often","Somewhat often","Somewhat often","Somewhat often","Somewhat often","Somewhat often","Often","Somewhat often","Often","Not very often","Often","Not very often","Very often","Very often","Often","Very often","Somewhat often","Never","Somewhat often","Somewhat often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Often","Never","Very often","Never","Never","Never","Very often","Very often","Never","Not very often","Never","Never","Never","Never","Never","Never","Often"
"62","Female","16-19","Secondary","Lebanon","Rural",1,0,0,"Unemployed","Lebanese","Typical","Once a day","Once a day","Never","Multiple times day","Never","Never","Once a day","Once a day","Never","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Every few days","Once a week","Never","Never","Once a day","Once a day","Never","Multiple times day","Never","Never","Once a day","Once a day","Never","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Once a week","Once a week","Never","Never","Always","Always","Always","Never","Never","Every few days","Always","Always","Always","Every few days","Always","Always","Always","Every few days","Never","Never","Every few days","Never","Never","Multiple times day","Never","Multiple times day","Once a week","Once a week","Never","Never","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Never","Never","Never","Very often","Very often","Never","Not very often","Never","Never","Never","Never","Never","Never","Often"
"63","Female","25-30","University","Tanzania","Urban",0,0,0,"Self-employed","Tanzanian","Typical","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Once a month","Once a week","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Once a month","Once a week","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Always","Always","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Once a month","Once a week","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Never","Never","Never","Very often","Very often","Somewhat often","Often"
"64","Male","16-19","University","Lebanon","Rural",0,0,0,"Unemployed","Lebanese","Typical","Multiple times day","Once every few weeks","Once every few weeks","Multiple times day","Never","Never","Multiple times day","Never","Never","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Never","Every few days","Never","Once a day","Multiple times day","Never","Never","Multiple times day","Never","Never","Multiple times day","Never","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Once every few weeks","Never","Never","Never","Always","Always","Always","Always","Never","Always","Always","Always","Always","Always","Always","Always","Always","Every few days","Never","Never","Never","Never","Always","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Very often","Often","Often","Not very often","Often","Never","Very often","Often","Often","Very often","Very often","Very often","Very often","Very often","Very often","Often","Never","Very often","Never","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Often","Somewhat often","Very often","Very often","Very often","Very often","Very often","Never","Never","Very often","Never","Never","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very often"
"65","Male","16-19","Mas/PhD","Lebanon","Rural",0,0,0,"Workforce","Lebanese","Typical","Once every few weeks","Every few days","Never","Multiple times day","Never","Never","Once every few weeks","Once every few weeks","Once every few weeks","Multiple times day","Less than once a month","Less than once a month","Multiple times day","Once every few weeks","Once a week","Once a month","Never","Less than once a month","Once a week","Less than once a month","Once a day","Less than once a month","Multiple times day","Less than once a month","Less than once a month","Less than once a month","Once a day","Less than once a month","Multiple times day","Less than once a month","Less than once a month","Multiple times day","Less than once a month","Multiple times day","Every few days","Less than once a month","Once every few weeks","Once a week","Always","Always","Always","Always","Never","Less than once a month","Always","Less than once a month","Once a month","Less than once a month","Always","Always","Less than once a month","Once a week","Never","Never","Never","Never","Never","Multiple times day","Less than once a month","Multiple times day","Once a month","Less than once a month","Once every few weeks","Once a week","Not very often","Often","Very often","Not very often","Very often","Very often","Very often","Often","Very often","Very often","Not very often","Somewhat often","Somewhat often","Often","Somewhat often","Somewhat often","Often","Very often","Very often","Very often","Often","Very often","Often","Somewhat often","Somewhat often","Somewhat often","Not very often","Not very often","Very often","Very often","Very often","Not very often","Very often","Very often","Never","Very often","Never","Never","Never","Very often","Never","Never","Somewhat often","Never","Never","Never","Never","Never","Often","Often"
"66","Male","25-30","University","Uganda","Urban",0,0,0,"Workforce","Ugandan","Typical","Less than once a month","Multiple times day","Once a week","Multiple times day","Multiple times day","Never","Never","Multiple times day","Once a week","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Less than once a month","Multiple times day","Once a week","Multiple times day","Multiple times day","Never","Never","Multiple times day","Once every few weeks","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Always","Always","Always","Once a day","Multiple times day","Multiple times day","Never","Never","Never","Never","Often","Often","Often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Often","Very often","Not very often","Often","Often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Often","Often","Very often","Very often","Not very often","Not very often","Often","Very often","Very often","Not very often","Never","Very often","Very often","Not very often","Somewhat often","Very often","Often","Never","Not very often","Never","Never","Never","Very often","Often","Not very often","Often"
"67","Male","20-24","Secondary","Lebanon","Rural",0,0,0,"Unemployed","Lebanese","Typical","Once a week","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Once a day","Multiple times day","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Once a week","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Once a week","Multiple times day","Multiple times day","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Every few days","Once a day","Never","Once a month","Always","Always","Always","Always","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Never","Always","Once a week","Once a month","Once a week","Never","Never","Never","Never","Often","Not very often","Often","Not very often","Often","Not very often","Often","Not very often","Often","Often","Often","Often","Very often","Often","Not very often","Often","Not very often","Often","Not very often","Often","Not very often","Often","Very often","Very often","Often","Often","Often","Not very often","Not very often","Not very often","Not very often","Often","Not very often","Often","Never","Often","Never","Never","Never","Very often","Not very often","Never","Never","Never","Never","Never","Never","Never","Not very often","Often"
"68","Male","25-30","University","Tanzania","Urban",0,0,0,"Self-employed","Tanzanian","Typical","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Less than once a month","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Less than once a month","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Always","Always","Always","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Less than once a month","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Very often","Very often","Very often","Very often","Very often","Never","Never","Never","Never","Never","Very often","Very often","Very often","Very often"
"69","Male","25-30","Secondary","Tanzania","Peri-urban",1,0,0,"Unemployed","Tanzanian","Typical","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Once a month","Always","Always","Always","Always","Always","Never","Never","Never","Always","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Not very often","Not very often","Not very often","Not very often","Often","Not very often","Often","Often","Often","Very often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Somewhat often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"70","Female",">30","Secondary","Tanzania","Peri-urban",0,0,0,"Self-employed","Tanzanian","Typical","Never","Less than once a month","Never","Never","Never","Multiple times day","Never","Less than once a month","Never","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Less than once a month","Never","Never","Never","Multiple times day","Never","Less than once a month","Never","Never","Never","Every few days","Every few days","Never","Every few days","Every few days","Never","Every few days","Never","Always","Always","Always","Always","Always","Never","Always","Always","Never","Always","Once a week","Once a week","Once a week","Once a week","Once a week","Never","Never","Never","Always","Every few days","Every few days","Every few days","Every few days","Never","Every few days","Never","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Somewhat often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"71","Female",">30","Secondary","Tanzania","Peri-urban",0,0,0,"M-owner","Tanzanian","Typical","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Never","Once a month","Multiple times day","Never","Never","Never","Multiple times day","Less than once a month","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Never","Always","Always","Always","Always","Always","Never","Always","Always","Always","Never","Always","Always","Always","Always","Always","Never","Never","Never","Always","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Never","Not very often","Often","Often","Often","Often","Often","Often","Very often","Very often","Very often","Very often","Not very often","Not very often","Never","Never","Somewhat often","Never","Somewhat often","Never","Never","Somewhat often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"72","Female",">30","Secondary","Tanzania","Peri-urban",0,0,0,"Self-employed","Tanzanian","Typical","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Always","Always","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Not very often","Never","Never","Very often","Never","Very often","Never","Very often","Very often","Very often","Never","Never","Never","Very often","Never","Very often","Very often","Very often","Somewhat often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Often"
"73","Female","25-30","Primary","Tanzania","Urban",0,0,0,"Unemployed","Tanzanian","Typical","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Never","Never","Always","Less than once a month","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Often","Often","Never","Often","Never","Often","Never","Never","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
